word,count_today,growth,score
làm_ăn,91,0.6140350877192983,15.396913426378772
atc,143,-0.046357615894039736,11.40390428481193
báo,98,-0.5099009900990099,4.851732666953242
ròng,47,-0.5555555555555556,3.0469576001782417
lãi,223,-0.5642023346303502,6.507846951687256
short,45,-0.5700934579439252,2.8839007560277667
tím,173,-0.5817307692307693,5.501472788956892
nhận_định,43,-0.6944444444444444,2.0036617713145004
tỷ,251,-0.6992840095465394,4.764237277415543
tàu,49,-0.7126436781609196,2.011494252873563
chiều,136,-0.7133891213389121,3.342428492024294
rút,107,-0.7244897959183674,2.84989971107441
lái,165,-0.7398119122257053,3.3421765016589524
dc,48,-0.7407407407407407,1.7962008374788359
ssi,67,-0.7490774907749077,2.0538892564107996
đạp,96,-0.7622549019607843,2.32941671617616
tây,91,-0.7676767676767676,2.216222387130278
chân,99,-0.7695852534562212,2.2925977813516587
fpt,80,-0.7774725274725275,1.990346221730582
ngoại,43,-0.7788944723618091,1.4498859048707937
